title,authors,rating,tags,publisher,pubdate,languages,comments,isbn,identifiers,uuid
"The Holy Bible: King James Version","King James Version","","Bibles, Christian Standard Bible, Philosophy, Religion, Ethics","BookRix","2019-01-09T00:00:00-04:00","eng","The King James Version (KJV) is an English translation of the Christian Bible for the Church of England begun in 1604 and completed in 1611.The Bible is a canonical collection of texts considered sacred in Judaism and Christianity. There is no single ""Bible"" and many Bibles with varying contents exist. The term Bible is shared between Judaism and Christianity, although the contents of each of their collections of canonical texts is not the same. Different religious groups include different books within their Biblical canons, in different orders, and sometimes divide or combine books, or incorporate additional material into canonical books.
","9783736801493","google:WFxoAwAAQBAJ,isbn:9783736801493","985f919b-acb8-4523-94e0-1561f53299b3"
"Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones","James Clear","","Business & Economics, Organizational Behavior, Family & Relationships, Anger, Psychology, Social Psychology, Movements, Behaviorism, Self-Help, Personal Growth","Random House Business Books","2018-04-15T00:00:00-04:00","eng","The #1 New York Times bestseller. Over 3 million copies sold! Tiny Changes, Remarkable Results No matter your goals, Atomic Habits offers a proven framework for improving--every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results. If you're having trouble changing your habits, the problem isn't you. The problem is your system. Bad habits repeat themselves again and again not because you don't want to change, but because you have the wrong system for change. You do not rise to the level of your goals. You fall to the level of your systems. Here, you'll get a proven system that can take you to new heights. Clear is known for his ability to distill complex topics into simple behaviors that can be easily applied to daily life and work. Here, he draws on the most proven ideas from biology, psychology, and neuroscience to create an easy-to-understand guide for making good habits inevitable and bad habits impossible. Along the way, readers will be inspired and entertained with true stories from Olympic gold medalists, award-winning artists, business leaders, life-saving physicians, and star comedians who have used the science of small habits to master their craft and vault to the top of their field. Learn how to: - make time for new habits (even when life gets crazy); - overcome a lack of motivation and willpower; - design your environment to make success easier; - get back on track when you fall off course; ...and much more. Atomic Habits will reshape the way you think about progress and success, and give you the tools and strategies you need to transform your habits--whether you are a team looking to win a championship, an organization hoping to redefine an industry, or simply an individual who wishes to quit smoking, lose weight, reduce stress, or achieve any other goal.
","9781804225783","google:T929zgEACAAJ,isbn:9781804225783","675f03a6-0b87-429c-8d4f-7051f618dfd6"
"Cheating Lessons: Learning From Academic Dishonesty","James M. Lang","","Behaviorism, Social Psychology, Education, Schools, Levels, Higher, Teaching, Testing & Measurement, Psychology","Harvard University Press","2013-09-02T00:00:00-04:00","eng","Nearly three-quarters of college students cheat during their undergraduate careers, a startling number attributed variously to the laziness of today’s students, their lack of a moral compass, or the demands of a hypercompetitive society. For James Lang, cultural or sociological explanations like these are red herrings. His provocative new research indicates that students often cheat because their learning environments give them ample incentives to try—and that strategies which make cheating less worthwhile also improve student learning. Cheating Lessons is a practical guide to tackling academic dishonesty at its roots. 
Drawing on an array of findings from cognitive theory, Lang analyzes the specific, often hidden features of course design and daily classroom practice that create opportunities for cheating. Courses that set the stakes of performance very high, that rely on single assessment mechanisms like multiple-choice tests, that have arbitrary grading criteria: these are the kinds of conditions that breed cheating. Lang seeks to empower teachers to create more effective learning environments that foster intrinsic motivation, promote mastery, and instill the sense of self-efficacy that students need for deep learning. 
Although cheating is a persistent problem, the prognosis is not dire. The good news is that strategies which reduce cheating also improve student performance overall. Instructors who learn to curb academic dishonesty will have done more than solve a course management problem—they will have become better educators all around.
","9780674727304","isbn:9780674727304,google:Fa16AAAAQBAJ","7c39e1e1-c170-4fd2-b8f4-560441c3535c"
"Make It Stick: The Science of Successful Learning","Iris Bohnet & Peter C. Brown","","Behaviorism, Social Psychology, Education, Schools, Levels, Higher, Teaching, Testing & Measurement, Psychology","Belknap Press of Harvard University Press","2014-04-15T00:00:00-04:00","eng","","9780670000005","isbn:9780670000005,google:yzye0AEACAAJ","5cd45418-e943-463d-9aa3-36ae729a9d62"
"Beyond Good and Evil","Friedrich Nietzsche & Helen Zimmern","","Philosophy, Good & Evil, Psychology, Ethics, Behaviorism","Digireads.com Publishing","2015-11-15T00:00:00-04:00","eng","German philosopher, Friedrich Nietzsche was one the most controversial figures of the 19th century. His evocative writings on religion, morality, culture, philosophy, and science were often polemic attacks against the established views of his time. First published in 1886, ""Beyond Good and Evil"" is a work that draws upon and expands the ideas that Nietzsche first addressed in his previous work, ""Thus Spoke Zarathustra. 
"" Nietzsche contrasts the concepts of good and evil as they were viewed in ancient times with the modern interpretations of them. As he asserts, the initial form of morality arises from the warrior nature of the ruling castes of ancient civilizations, who viewed themselves as good because of their wealth and power in contrast to the weakness of those that they enslaved. He further describes how the recasting of these ancient values through religion has given rise to a new ""slave"" morality, which defines goodness by a set of virtues which are contradictory to those of the ruling classes. Ultimately ""Beyond Good and Evil"" is a harsh criticism of philosophical systems that described a good person as the opposite of an evil one rather than just a relative expression of the impulses inherent in all men. This edition is printed on premium acid-free paper, is translated by Helen Zimmern, and includes introductions by Willard Huntington Wright and Thomas Common.
","9781420951943","google:eO_JjgEACAAJ,isbn:9781420951943","ad912bed-8fc4-406c-a2d3-a99d78cb1b5c"
"Meditations","Marcus Aurelius","","Philosophy, History & Surveys, Ancient & Classical, Ethics & Moral Philosophy, Ethics, Classics","Wordsworth Editions","1997-04-15T00:00:00-04:00","eng","The ""Meditations"" of Roman Emperor Marcus Aurelius are a readable exposition of the system of metaphysics known as stoicism. Stoics maintained that by putting aside great passions, unjust thoughts and indulgence, man could acquire virtue and live at one with nature. The Meditations were composed in periods of inaction during the wars which Marcus hated but was compelled to fight.
","9781853264863","google:VVsmU-4YwFsC,isbn:9781853264863","c6449175-f4a1-4f2f-b824-2ff69fa5c49f"
"Indian Myths","Edt Jackson","","Classics, Mythology, Myths, Fairy Tales; Folk Tales; Legends & Mythology, Fairy Tales & Folklore","Flame Tree Pub","2017-04-15T00:00:00-04:00","eng","","","google:L1A1zgEACAAJ","ca76b1bd-8447-4ec2-bfb2-888530068ade"
"An Introduction to the Metaphysics of St. Thomas Aquinas: Texts","Saint Thomas (aquinas)","","Philosophy, Metaphysics, Religion, Christian Theology, General, Ethics","Regnery Gateway","1989-04-15T00:00:00-04:00","eng","An accessible and solid entry into the metaphysics of St. Thomas Aquinas.
","9780895269706","isbn:9780895269706,google:MO22swEACAAJ","407448e4-cbe8-4f5e-aef8-d093fea4ba4b"
"The Philosophy of Kant: Immanuel Kant's Moral and Political Writings, Edited, With an Introduction by Carl J. Friedrich","Immanuel Kant","","Philosophy, Metaphysics, Religion, Christian Theology, General, Ethics, Ethics & Moral Philosophy","New York","1949-04-15T00:00:00-04:00","eng","","","google:9k8zzwEACAAJ","5d105f92-3270-4d79-a560-7607d3311442"
"The Graduate's Handbook: Your No-Nonsense Guide for What Comes Next","Clark Gaither","","Self-Help, Personal Growth, Success, Psychology, Self-Management, Education","Morgan James Publishing","2016-06-14T00:00:00-04:00","eng","Give the new graduate in your life the gift of wisdom with this practical guide to living with purpose, passion and success. Every new graduate deserves a head start on a successful life. This book imbues young people with hope, inspiration, motivation, and the truth about living life on life's terms. The Graduate’s Handbook offers insight on careers, procrastination, reality-based living, fear, failure, and relationships. The author’s own hard-won lessons are enhanced with wise quotations from successful authors, philosophers, and historical figures. Whether you’re buying for a high school or college graduate, this keepsake will guide and teach them for many years to come!
","9781630479244","isbn:9781630479244,google:hw4iDAAAQBAJ","09c9d210-9dbb-4181-8b69-ceaf313459e7"
"Atlas Shrugged","Ayn Rand","","Fiction, Classics, Political, Literary","Penguin","2005-04-21T00:00:00-04:00","eng","Peopled by larger-than-life heroes and villains, charged with towering questions of good and evil, Atlas Shrugged is Ayn Rand’s magnum opus: a philosophical revolution told in the form of an action thriller—nominated as one of America’s best-loved novels by PBS’s The Great American Read. 
Who is John Galt? When he says that he will stop the motor of the world, is he a destroyer or a liberator? Why does he have to fight his battles not against his enemies but against those who need him most? Why does he fight his hardest battle against the woman he loves?You will know the answer to these questions when you discover the reason behind the baffling events that play havoc with the lives of the amazing men and women in this book. You will discover why a productive genius becomes a worthless playboy...why a great steel industrialist is working for his own destruction...why a composer gives up his career on the night of his triumph...why a beautiful woman who runs a transcontinental railroad falls in love with the man she has sworn to kill. 
Atlas Shrugged, a modern classic and Rand’s most extensive statement of Objectivism—her groundbreaking philosophy—offers the reader the spectacle of human greatness, depicted with all the poetry and power of one of the twentieth century’s leading artists.
","9781101137192","google:bVyCd7da8OcC,isbn:9781101137192","6b8c7a8a-b02a-46de-9400-ef41a5616116"
"The Fountainhead (Centennial Edition HC)","Ayn Rand","","Fiction, Classics, Political, Literary","National Geographic Books","2005-04-26T00:00:00-04:00","eng","The revolutionary literary vision that sowed the seeds of Objectivism, Ayn Rand's groundbreaking philosophy, and brought her immediate worldwide acclaim. 
This modern classic is the story of intransigent young architect Howard Roark, whose integrity was as unyielding as granite...of Dominique Francon, the exquisitely beautiful woman who loved Roark passionately, but married his worst enemy...and of the fanatic denunciation unleashed by an enraged society against a great creator. As fresh today as it was then, Rand’s provocative novel presents one of the most challenging ideas in all of fiction—that man’s ego is the fountainhead of human progress...“A writer of great power. She has a subtle and ingenious mind and the capacity of writing brilliantly, beautifully, bitterly...This is the only novel of ideas written by an American woman that I can recall.”—The New York Times
","9780452286757","isbn:9780452286757,google:mcyNEAAAQBAJ","62a41db2-8cda-4aa4-8133-901ec6dbaaf2"
"Anthem","Ayn Rand","","Fiction, Classics, Political, Literary","Penguin Publishing Group","2004-12-28T00:00:00-04:00","eng","Anthem is Ayn Rand’s classic tale of a dystopian future of the great “We”—a world that deprives individuals of a name or independence—that anticipates her later masterpieces, The Fountainhead and Atlas Shrugged. 
They existed only to serve the state. They were conceived in controlled Palaces of Mating. They died in the Home of the Useless. From cradle to grave, the crowd was one—the great WE.In all that was left of humanity there was only one man who dared to think, seek, and love. He lived in the dark ages of the future. In a loveless world, he dared to love the woman of his choice. In an age that had lost all trace of science and civilization, he had the courage to seek and find knowledge. But these were not the crimes for which he would be hunted. He was marked for death because he had committed the unpardonable sin: He had stood forth from the mindless human herd. He was a man alone. He had rediscovered the lost and holy word—I.“I worship individuals for their highest possibilities as individuals, and I loathe humanity, for its failure to live up to these possibilities.”—Ayn Rand
","9780452286351","google:53_gTwjRTvYC,isbn:9780452286351","7c4d089c-bf2f-4443-9296-021d61a078d1"
"Mythology","Edith Hamilton & Aphrodite Trust & Apollo Trust","","Mythology, Folklore & Mythology, Literary Criticism, Ancient & Classical, History, Ancient, Greece","Little, Brown","2012-06-25T00:00:00-04:00","eng","Dive into the timeless tales of gods and heroes in this bestselling A-to-Z encyclopedia detailing classic myths and legends—perfect for curious readers and academics alike. Edith Hamilton's mythology succeeds like no other book in bringing to life for the modern reader the Greek, Roman and Norse myths that are the keystone of Western culture—the stories of gods and heroes that have inspired human creativity from antiquity to the present. We follow the drama of the Trojan War and the wanderings of Odysseus. We hear the tales of Jason and the Golden Fleece, Cupid and Psyche, and mighty King Midas. We discover the origins of the names of the constellations. And we recognize reference points for countless works for art, literature and culture inquiry-from Freud's Oedipus complex to Wagner's Ring Cycle of operas to Eugene O'Neill's Mourning Becomes Electra Both a reference text for scholars of all ages and a book to simply enjoy, Mythology is a classic not to be missed.
","9780316032162","isbn:9780316032162,google:mvrseNhVY0YC","c450ce28-53ad-44f8-858b-fb8c88f53113"
"Don Quixote","Miguel de Cervantes Saavedra","","Fiction, Sagas, Classics, Literary","Penguin Books","2001-04-15T00:00:00-04:00","eng","Don Quixote has become so entranced reading tales of chivalry that he decides to turn knight errant himself. In the company of his faithful squire, Sancho Panza, these exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray- he tilts at windmills, imagining them to be giants- Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together-and together they have haunted readers' imaginations for nearly four hundred years. With its experimental form and literary playfulness, Don Quixote has been generally recognized as the first modern novel. This Penguin Classics edition includes John Rutherford's masterly new translation, which does full justice to the energy and wit of Cervantes's prose, as well as a brilliant new critical introduction by Roberto Gonzalez Echevarria.
","9780140448047","isbn:9780140448047,google:6nYbAQAAIAAJ","3c27c444-60c1-4f53-951b-d9ca7681517f"
"Jules Verne: Seven Stories","Jules Verne","","Fiction, Classics, Literary, Action & Adventure, Science Fiction","Graphic Arts Books","2020-10-06T00:00:00-04:00","eng","Taken aboard the submarine Nautilus by Captain Nemo, the narrator and his companions find themselves captives on a spectacular tour of the world’s oceans, and witnesses to Nemo’s increasingly obsessive hatred of the surface world. Professor Pierre Aronnax was rescued from drowning by Captain Nemo, who insists that in order to protect the secret of his submarine, Aronnax must stay on board the Nautilus for the rest of his life. They explore the oceans, with the inspired author guiding them through a terrific array of undersea wonders, some based on reality and others wholly imagined. Giving his lush imagination free rein Verne describes his characters encountering sunken ships, Antarctic ice, and the drowned city of Atlantis, spicing the action with an unforgettable battle with giant squid. Though it all Aronnax notes Captain Nemo’s hatred for the nations of the surface world, which builds until it borders on madness and Aronnax and his companions realize that they must find a way to escape. First appearing in 1870, Twenty Thousand Leagues Under the Sea was an immediate success and has remained one of the author’s most esteemed works ever since. Celebrated for its prescient treatment of the submarine, the novel has also been steadily re-examined by critics who have found political, social and ecological subtexts in the book. Readers will find, as they have for 150 years, a richly engaging adventure story full of thrills, inventiveness and wonder. With an eye-catching new cover, and professionally typeset manuscript, this edition of Twenty Thousand Leagues Under the Sea is both modern and readable.
","9781513273020","isbn:9781513273020,google:dygTEAAAQBAJ","4a3072fe-a8ee-461f-aba7-3dabded777b0"
