title,author
Make it Stick,"Henry L. Roediger III,Mark A. McDaniel,and Peter C. Brown"
Beyond Good and Evil,Friedrich Nietzsche
Meditations,Marcus Aurelius
Indian Myths,Jake Jakcson
Introduction to St. Thomas Aquinas,"Thomas Aquinas,edited by Anton C. Pegis"
The Philosophy of Kant,"Immanuel Kant,edited by Carl J. Friedrich"
The Graduate's Handbook,Dr. Clark Gaither
Atlas Shrugged,Ayn Rand
The Fountainhead,Ayn Rand
Anthem,Ayn Rand
Mythology,Edith Hamilton
Don Quixote De La Mancha,Miguel de Cervantes
Jules Verne: Seven Novels,Jules Verne
The Outsiders,S. E. Hinton
Tom Sawyer,Mark Twain
The Time Machine,H.G. Wells
Frankenstein,Mary Shelley
Macabre Stories,H.P. Lovecraft
The Randolph Carter Tales,H.P. Lovecraft
Stories of the Dreamlands,H.P. Lovecraft
At the Mountains of Madness,H.P. Lovecraft
The Call of Cthulu,H.P. Lovecraft
The Dunwich Horror,H.P. Lovecraft
The Awakening,Kate Chopin
Bioshock Rapture,John Shirley
Ender's Game,Orson Scott Card
Dune,Frank Herbert
Dune Messiah,Frank Herbert
The Giver,Lois Lowry
Eragon,Christopher Paolini
Eldest,Christopher Paolini
Brisingr,Christopher Paolini
Inheritance,Christopher Paolini
Harry Potter and the Sorcerer's Stone,J.K. Rowling
Harry Potter and the Chamber of Secrets,J.K. Rowling
Harry Potter and the Prisoner of Azkaban,J.K. Rowling
Harry Potter and the Goblet of Fire,J.K. Rowling
Harry Potter and the Order of the Pheonix,J.K. Rowling
Harry Potter and Half-Blood Prince,J.K. Rowling
Harry Potter and the Deathly Hallows,J.K. Rowling
Harry Potter and History,Nancy R. Reagin
The Beetle and the Bard,J.K. Rowling
The Chronicles of Narnia: The Magician's Nephew,C.S. Lewis
"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe",C.S. Lewis
The Chronicles of Narnia: The Horse and his Boy,C.S. Lewis
The Chronicles of Narnia: Prince Caspian,C.S. Lewis
The Chronicles of Narnia: The Voyage of the Dawn Treader,C.S. Lewis
The Chronicles of Narnia: The Silver Chair,C.S. Lewis
The Chronicles of Narnia: The Last Battle,C.S. Lewis
Holidays on Ice,David Sedaris
Skeleton Crew,Stephen King
The Mystery of the Pale King,Sam Flynn
Revival,Stephen King
The Chronicles of Vladimir Todd: Ninth Grade Slays,Heather Brewer
Lights Out,Navessa Allen
Nightmares and Dreamscapes,Stephen King
Berserk Volume 1 Deluxe Edition,Kentaro Miura
Batman Earth One Volume Two,"Jones,Frank,Sibal,Anderson"
Yes Please,Amy Poehler
She's Come Undone,Wally Lamb
Scarecrow Returns,Matthew Reilly
Dark Celebration,Christine Feehan
Blue Dahlia,Nora Roberts
The Strange Fascinations of Noah Hypnotik,David Arnold
Fargo Rock City,Chuck Klosterman
Dating Game,Danielle Steel
The Official Rules of Chess,Eric Schiller and Richard Peterson
The Right Way to Play Chess,D. Brine Pritchard
Bobby Fischer Teaches Chess,Bobby Fischer
Official Poker Rules,World Poker Tour
Billiards: The Official Rules and Records Book,Billiards Congress of America
Fable Haven,Brandon Mull
Fable Haven: Rise of the Evening Star,Brandon Mull
Fable Haven: Grip of the Shadow Plague,Brandon Mull
Fable Haven: Secrets of the Dragon Sanctuary,Brandon Mull
Fable Haven: Keys to the Demon Prison,Brandon Mull
Percy Jackson: The Lightning Thief,Rick Riordan
Percy Jackson: The Sea of Monsters,Rick Riordan
Percy Jackson: The Titan's Curse,Rick Riordan
Percy Jackson: The Battle of the Labyrinth,Rick Riordan
Percy Jackson: The Last Olympian,Rick Riordan
The Kane Chronicles: The Red Pyramid,Rick Riordan
Magnus Chase: The Sword of Summer,Rick Riordan
American Gods,Neil Gaiman
Gothic Dreams Steampunk,Henry Winchester
"The War of the Worlds,The Invisible Man,and The Time Machine",H.G. Wells
On the Art of Love,William Shakespeare
The Divine Comedy,Dante
Short Stories by Edgar Allen Poe,Edgar Allen Poe
The Thousand and One Nights,Edited by Charles W. Eliot
Iliad,Homer
"Wind,Sand,and Stars",Antoine de Saint-Exupery
Dracula,Bram Stoker
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories,Robert Lewis Stevenson
Pride and Prejudice,Jane Austen
To Kill a Mocking Bird,Harper Lee
The Basics of China Painting,Bill Thompson
The Color Mixing Bible,Ian Sidaway
The Ceramics Bible,Lewisa Taylor
Tattoo Flash Volume 1,J. Brett Prince
Anglo Celtic Patterns and Motifs,Treubhan
Classic Flash in 5 Bold Colors,"Jeromy ""Tilt"" McCulloch"
"Stewed,Screwed,and Tattoed",Madame Chinchilla
Heavily Tattooed Men and Women,Schiffer
Tattoo 1930s-1970s,Henk Schiffmacher
This Book is for People Who Love Tattoos,Verena Hutter
ABC Tattoo Flash Volume 2,Luke Wolf
French-English Dictionary,French-English Dictionary
Students Endlish-Hindi Dictionary,Students Endlish-Hindi Dictionary
English-Telugu Conversation Guide,English-Telugu Conversation Guide
Beginner's Hindi Script,Beginner's Hindi Script
Harry Potter in Spanish,J.K. Rowling
Compact Spanish and English Dictionary,Compact Spanish and English Dictionary
French Dictionary,French Dictionary
Complete Hindi,Complete Hindi
The Ultimate Spanish Review and Practice,The Ultimate Spanish Review and Practice
Hindi Childrens Book,Hindi Childrens Book
The Little Prince in French,The Little Prince in French
